Title,Description,Author,Narrator,SeroiesLabel,RunTimeLabel,ReleaseDateLabel,LanguageLabel,RatingsLabel
The Far Reaches,Stories to Take You Out of This World,"James S. A. Corey,Veronica Roth,Rebecca Roanhorse,Ann Leckie,Nnedi Okorafor,John Scalzi","James Patrick Cronin,Soneela Nankani,Shaun Taylor-Corbett,P. J. Morgan,Délé Ogundiran,Kay Eluvian",The Far Reaches Collection,Length: 6 hrs and 52 mins,"Release date:
                                    06-27-23
                                  ","Language:
                                      English
                                    ",1 rating
Everything,"Full Murderhobo, Book 3",Dakota Krout,Christian J. Gilliland,Full Murderhobo,Length: 13 hrs and 42 mins,"Release date:
                                    06-21-23
                                  ","Language:
                                      English
                                    ",173 ratings
Too Late,Definitive Edition,Colleen Hoover,"Ryan Gray,Maxine Mitchell,Joe Arden",,Length: 10 hrs and 19 mins,"Release date:
                                    06-27-23
                                  ","Language:
                                      English
                                    ",19 ratings
Slow Time Between the Stars,The Far Reaches Collection,John Scalzi,Kay Eluvian,The Far Reaches Collection,Length: 56 mins,"Release date:
                                    06-27-23
                                  ","Language:
                                      English
                                    ",27 ratings
The Silmarillion,,"J. R. R. Tolkien,Christopher Tolkien",Andy Serkis,The Lord of the Rings,Length: 19 hrs and 24 mins,"Release date:
                                    06-22-23
                                  ","Language:
                                      English
                                    ",26 ratings
"Security Analysis, Seventh Edition",Principles and Technique,"Benjamin Graham,David Dodd,Seth Klarman - editor",Scott R. Pollak,,Length: 34 hrs and 53 mins,"Release date:
                                    06-27-23
                                  ","Language:
                                      English
                                    ",
Unbroken Bonds of Battle,"A Modern Warriors Book of Heroism, Patriotism, and Friendship",Johnny Joey Jones,"Johnny Joey Jones,Rick Adamson,Cary Hite,Cassidy Brown",Fox News Books Series,Length: 8 hrs and 30 mins,"Release date:
                                    06-27-23
                                  ","Language:
                                      English
                                    ",2 ratings
"Harry Potter and the Sorcerer's Stone, Book 1",,J.K. Rowling,Jim Dale,"Wizarding World Collection,Harry Potter",Length: 8 hrs and 18 mins,"Release date:
                                    11-20-15
                                  ","Language:
                                      English
                                    ","186,059 ratings"
Rich Kid,,Khan Nguyen,Abdullah Fahim,,Length: 1 hr and 29 mins,"Release date:
                                    06-12-23
                                  ","Language:
                                      English
                                    ",
The First Ladies,,"Marie Benedict,Victoria Christopher Murray","Robin Miles,Tavia Gilbert",,Length: 14 hrs and 33 mins,"Release date:
                                    06-27-23
                                  ","Language:
                                      English
                                    ",1 rating
One True Loves,A Novel,Taylor Jenkins Reid,"Julia Whelan,Taylor Jenkins Reid",,Length: 8 hrs and 53 mins,"Release date:
                                    06-13-23
                                  ","Language:
                                      English
                                    ",24 ratings
Spare,,Prince Harry The Duke of Sussex,Prince Harry The Duke of Sussex,,Length: 15 hrs and 39 mins,"Release date:
                                    01-10-23
                                  ","Language:
                                      English
                                    ","62,735 ratings"
Palazzo,,Danielle Steel,James Babson,,Length: 7 hrs and 14 mins,"Release date:
                                    06-27-23
                                  ","Language:
                                      English
                                    ",2 ratings
Ultra-Processed People,Why We Can't Stop Eating Food That Isn't Food,Chris van Tulleken,"Chris van Tulleken,Dr. Xand van Tulleken",,Length: 11 hrs and 35 mins,"Release date:
                                    06-27-23
                                  ","Language:
                                      English
                                    ",1 rating
Never Finished,Unshackle Your Mind and Win the War Within,David Goggins,"David Goggins,Adam Skolnick,Jacqueline Gardner",,Length: 11 hrs and 6 mins,"Release date:
                                    12-06-22
                                  ","Language:
                                      English
                                    ","24,334 ratings"
Fourth Wing,"Fourth Wing, Book 1",Rebecca Yarros,"Rebecca Soler,Teddy Hamilton",Fourth Wing,Length: 20 hrs and 47 mins,"Release date:
                                    05-02-23
                                  ","Language:
                                      English
                                    ","3,515 ratings"
